"","Discipline","Description of Finding","Original Report","Replication Report"
"...3192","Neuroscience (humans","Fear conditioning leads to elevated amplitudes during the time period of the Late Positive Potential (LPP), i.e., a positive-going event-related brain potential (ERP) component​ that can be recorded using electroencephalography (EEG","Pizzagalli DA, Greischar LL, Davidson RJ (2003). “Spatio-temporal dynamics of brain mechanisms in aversive
 classical conditioning: high-density event-related potential and brain electrical tomography analyses.”
 _Neuropsychologia_, *41*(2), 184–194. ISSN 0028-3932, doi:10.1016/s0028-3932(02)00148-3
 <https://doi.org/10.1016/s0028-3932%2802%2900148-3>, <http://dx.doi.org/10.1016/s0028-3932(02)00148-3>.","Seligowski AV, Bondy E, Singleton P, Orcutt HK, Ressler KJ, Auerbach RP (2018). “Testing neurophysiological
 markers related to fear-potentiated startle.” _Psychiatry Research_, *267*, 195–200. ISSN 0165-1781,
 doi:10.1016/j.psychres.2018.06.023 <https://doi.org/10.1016/j.psychres.2018.06.023>,
 <http://dx.doi.org/10.1016/j.psychres.2018.06.023>."
"...3193","Neuroscience (humans","Fear conditioning leads to elevated amplitudes during the time period of the Late Positive Potential (LPP), i.e., a positive-going event-related brain potential (ERP) component​ that can be recorded using electroencephalography (EEG","Pizzagalli DA, Greischar LL, Davidson RJ (2003). “Spatio-temporal dynamics of brain mechanisms in aversive
 classical conditioning: high-density event-related potential and brain electrical tomography analyses.”
 _Neuropsychologia_, *41*(2), 184–194. ISSN 0028-3932, doi:10.1016/s0028-3932(02)00148-3
 <https://doi.org/10.1016/s0028-3932%2802%2900148-3>, <http://dx.doi.org/10.1016/s0028-3932(02)00148-3>.","Stolz C, Endres D, Mueller EM (2018). “Threat‐conditioned contexts modulate the late positive potential to
 faces—A mobile EEG/virtual reality study.” _Psychophysiology_, *56*(4). ISSN 1469-8986, doi:10.1111/psyp.13308
 <https://doi.org/10.1111/psyp.13308>, <http://dx.doi.org/10.1111/psyp.13308>."
"...3194","Neuroscience (humans","Fear conditioning leads to elevated amplitudes during the time period of the Late Positive Potential (LPP), i.e., a positive-going event-related brain potential (ERP) component​ that can be recorded using electroencephalography (EEG","Pizzagalli DA, Greischar LL, Davidson RJ (2003). “Spatio-temporal dynamics of brain mechanisms in aversive
 classical conditioning: high-density event-related potential and brain electrical tomography analyses.”
 _Neuropsychologia_, *41*(2), 184–194. ISSN 0028-3932, doi:10.1016/s0028-3932(02)00148-3
 <https://doi.org/10.1016/s0028-3932%2802%2900148-3>, <http://dx.doi.org/10.1016/s0028-3932(02)00148-3>.","Sperl MF, Wroblewski A, Mueller M, Straube B, Mueller EM (2021). “Learning dynamics of electrophysiological brain
 signals during human fear conditioning.” _NeuroImage_, *226*, 117569. ISSN 1053-8119,
 doi:10.1016/j.neuroimage.2020.117569 <https://doi.org/10.1016/j.neuroimage.2020.117569>,
 <http://dx.doi.org/10.1016/j.neuroimage.2020.117569>."
"...3195","Neuroscience (humans","Fear conditioning leads to heart rate slowing (fear-conditioned bradycardia","Notterman JM, Schoenfeld WN, Bersh PJ (1952). “Conditioned heart rate response in human beings during
 experimental anxiety.” _Journal of Comparative and Physiological Psychology_, *45*(1), 1–8. ISSN 0021-9940,
 doi:10.1037/h0060870 <https://doi.org/10.1037/h0060870>, <http://dx.doi.org/10.1037/h0060870>.","Castegnetti G, Tzovara A, Staib M, Paulus PC, Hofer N, Bach DR (2016). “Modeling fear‐conditioned bradycardia in
 humans.” _Psychophysiology_, *53*(6), 930–939. ISSN 1469-8986, doi:10.1111/psyp.12637
 <https://doi.org/10.1111/psyp.12637>, <http://dx.doi.org/10.1111/psyp.12637>."
"...3196","Neuroscience (humans","Fear conditioning leads to heart rate slowing (fear-conditioned bradycardia","Notterman JM, Schoenfeld WN, Bersh PJ (1952). “Conditioned heart rate response in human beings during
 experimental anxiety.” _Journal of Comparative and Physiological Psychology_, *45*(1), 1–8. ISSN 0021-9940,
 doi:10.1037/h0060870 <https://doi.org/10.1037/h0060870>, <http://dx.doi.org/10.1037/h0060870>.","Deane GE, Zeaman D (1958). “Human Heart Rate during Anxiety.” _Perceptual and Motor Skills_, *8*(3), 103–106.
 ISSN 1558-688X, doi:10.2466/pms.1958.8.3.103 <https://doi.org/10.2466/pms.1958.8.3.103>,
 <http://dx.doi.org/10.2466/pms.1958.8.3.103>."
"...3197","Neuroscience (humans","Fear conditioning leads to heart rate slowing (fear-conditioned bradycardia","Notterman JM, Schoenfeld WN, Bersh PJ (1952). “Conditioned heart rate response in human beings during
 experimental anxiety.” _Journal of Comparative and Physiological Psychology_, *45*(1), 1–8. ISSN 0021-9940,
 doi:10.1037/h0060870 <https://doi.org/10.1037/h0060870>, <http://dx.doi.org/10.1037/h0060870>.","Gruss LF, Langaee T, Keil A (2016). “The role of the COMT val158met polymorphism in mediating aversive learning
 in visual cortex.” _NeuroImage_, *125*, 633–642. ISSN 1053-8119, doi:10.1016/j.neuroimage.2015.11.003
 <https://doi.org/10.1016/j.neuroimage.2015.11.003>, <http://dx.doi.org/10.1016/j.neuroimage.2015.11.003>."
"...3198","Neuroscience (humans","Fear conditioning leads to heart rate slowing (fear-conditioned bradycardia","Notterman JM, Schoenfeld WN, Bersh PJ (1952). “Conditioned heart rate response in human beings during
 experimental anxiety.” _Journal of Comparative and Physiological Psychology_, *45*(1), 1–8. ISSN 0021-9940,
 doi:10.1037/h0060870 <https://doi.org/10.1037/h0060870>, <http://dx.doi.org/10.1037/h0060870>.","Mueller EM, Sperl MFJ, Panitz C (2019). “Aversive Imagery Causes De Novo Fear Conditioning.” _Psychological
 Science_, *30*(7), 1001–1015. ISSN 1467-9280, doi:10.1177/0956797619842261
 <https://doi.org/10.1177/0956797619842261>, <http://dx.doi.org/10.1177/0956797619842261>."
"...3200","Neuroscience (humans","Fear conditioning leads to heart rate slowing (fear-conditioned bradycardia","Notterman JM, Schoenfeld WN, Bersh PJ (1952). “Conditioned heart rate response in human beings during
 experimental anxiety.” _Journal of Comparative and Physiological Psychology_, *45*(1), 1–8. ISSN 0021-9940,
 doi:10.1037/h0060870 <https://doi.org/10.1037/h0060870>, <http://dx.doi.org/10.1037/h0060870>.","Panitz C, Sperl MF, Hennig J, Klucken T, Hermann C, Mueller EM (2018). “Fearfulness, neuroticism/anxiety, and
 COMT Val158Met in long-term fear conditioning and extinction.” _Neurobiology of Learning and Memory_, *155*,
 7–20. ISSN 1074-7427, doi:10.1016/j.nlm.2018.06.001 <https://doi.org/10.1016/j.nlm.2018.06.001>,
 <http://dx.doi.org/10.1016/j.nlm.2018.06.001>."
"...3201","Neuroscience (humans","Fear conditioning leads to heart rate slowing (fear-conditioned bradycardia","Notterman JM, Schoenfeld WN, Bersh PJ (1952). “Conditioned heart rate response in human beings during
 experimental anxiety.” _Journal of Comparative and Physiological Psychology_, *45*(1), 1–8. ISSN 0021-9940,
 doi:10.1037/h0060870 <https://doi.org/10.1037/h0060870>, <http://dx.doi.org/10.1037/h0060870>.","Schipper P, Hiemstra M, Bosch K, Nieuwenhuis D, Adinolfi A, Glotzbach S, Borghans B, Lopresto D, Fernández G,
 Klumpers F, Hermans EJ, Roelofs K, Henckens MJAG, Homberg JR (2019). “The association between serotonin
 transporter availability and the neural correlates of fear bradycardia.” _Proceedings of the National Academy of
 Sciences_, *116*(51), 25941–25947. ISSN 1091-6490, doi:10.1073/pnas.1904843116
 <https://doi.org/10.1073/pnas.1904843116>, <http://dx.doi.org/10.1073/pnas.1904843116>."
"...3203","Neuroscience (humans","Fear conditioning leads to heart rate slowing (fear-conditioned bradycardia","Notterman JM, Schoenfeld WN, Bersh PJ (1952). “Conditioned heart rate response in human beings during
 experimental anxiety.” _Journal of Comparative and Physiological Psychology_, *45*(1), 1–8. ISSN 0021-9940,
 doi:10.1037/h0060870 <https://doi.org/10.1037/h0060870>, <http://dx.doi.org/10.1037/h0060870>.","Thigpen NN, Bartsch F, Keil A (2017). “The malleability of emotional perception: Short-term plasticity in
 retinotopic neurons accompanies the formation of perceptual biases to threat.” _Journal of Experimental
 Psychology: General_, *146*(4), 464–471. ISSN 0096-3445, doi:10.1037/xge0000283
 <https://doi.org/10.1037/xge0000283>, <http://dx.doi.org/10.1037/xge0000283>."
"...3205","Neuroscience (humans","After fasting, the administration of glucose prior to psychosocial stress or a nicotine challenge led to an increased cortisol stress response (in comparison to water administration). ​Blood glucose levels were positively associated with the cortisol stress response triggered by the Trier Social Stress Test (TSST","Kirschbaum C (1997). “Effects of Fasting and Glucose Load on Free Cortisol Responses to Stress and Nicotine.”
 _Journal of Clinical Endocrinology &amp;amp; Metabolism_, *82*(4), 1101–1105. ISSN 0021-972X,
 doi:10.1210/jc.82.4.1101 <https://doi.org/10.1210/jc.82.4.1101>, <http://dx.doi.org/10.1210/jc.82.4.1101>.","Bentele UU, Meier M, Benz ABE, Denk BF, Dimitroff SJ, Pruessner JC, Unternaehrer E (2021). “The impact of
 maternal care and blood glucose availability on the cortisol stress response in fasted women.” _Journal of Neural
 Transmission_, *128*(9), 1287–1300. ISSN 1435-1463, doi:10.1007/s00702-021-02350-y
 <https://doi.org/10.1007/s00702-021-02350-y>, <http://dx.doi.org/10.1007/s00702-021-02350-y>."
"...3206","Neuroscience (humans","After fasting, the administration of glucose prior to psychosocial stress or a nicotine challenge led to an increased cortisol stress response (in comparison to water administration). ​Blood glucose levels were positively associated with the cortisol stress response triggered by the Trier Social Stress Test (TSST","Kirschbaum C (1997). “Effects of Fasting and Glucose Load on Free Cortisol Responses to Stress and Nicotine.”
 _Journal of Clinical Endocrinology &amp;amp; Metabolism_, *82*(4), 1101–1105. ISSN 0021-972X,
 doi:10.1210/jc.82.4.1101 <https://doi.org/10.1210/jc.82.4.1101>, <http://dx.doi.org/10.1210/jc.82.4.1101>.","Meier M, Bentele UU, Benz AB, Denk B, Dimitroff S, Pruessner JC, Unternaehrer E (2021). “Effects of
 psychological, sensory, and metabolic energy prime manipulation on the acute endocrine stress response in fasted
 women.” _Psychoneuroendocrinology_, *134*, 105452. ISSN 0306-4530, doi:10.1016/j.psyneuen.2021.105452
 <https://doi.org/10.1016/j.psyneuen.2021.105452>, <http://dx.doi.org/10.1016/j.psyneuen.2021.105452>."
"...3207","Neuroscience (humans","After fasting, the administration of glucose prior to psychosocial stress or a nicotine challenge led to an increased cortisol stress response (in comparison to water administration). ​Blood glucose levels were positively associated with the cortisol stress response triggered by the Trier Social Stress Test (TSST","Kirschbaum C (1997). “Effects of Fasting and Glucose Load on Free Cortisol Responses to Stress and Nicotine.”
 _Journal of Clinical Endocrinology &amp;amp; Metabolism_, *82*(4), 1101–1105. ISSN 0021-972X,
 doi:10.1210/jc.82.4.1101 <https://doi.org/10.1210/jc.82.4.1101>, <http://dx.doi.org/10.1210/jc.82.4.1101>.","Rüttgens T, Wolf OT (2022). “The influence of a glucose administration on stress responsivity and memory after a
 socially evaluated cold pressor test.” _Psychoneuroendocrinology_, *142*, 105803. ISSN 0306-4530,
 doi:10.1016/j.psyneuen.2022.105803 <https://doi.org/10.1016/j.psyneuen.2022.105803>,
 <http://dx.doi.org/10.1016/j.psyneuen.2022.105803>."
"...3209","Neuroscience (humans","Multivariate pattern analyses can identify patterns of resting-state functional connectivity that successfully differentiate individuals with depression from healthy controls. This finding demonstrates the potential utility of resting-state functional connectivity as a biomarker of depression","Craddock RC, Holtzheimer PE, Hu XP, Mayberg HS (2009). “Disease state prediction from resting state functional
 connectivity.” _Magnetic Resonance in Medicine_, *62*(6), 1619–1628. ISSN 1522-2594, doi:10.1002/mrm.22159
 <https://doi.org/10.1002/mrm.22159>, <http://dx.doi.org/10.1002/mrm.22159>.","Cao L, Guo S, Xue Z, Hu Y, Liu H, Mwansisya TE, Pu W, Yang B, Liu C, Feng J, Chen EYH, Liu Z (2013). “Aberrant
 functional connectivity for diagnosis of major depressive disorder: A discriminant analysis.” _Psychiatry and
 Clinical Neurosciences_, *68*(2), 110–119. ISSN 1440-1819, doi:10.1111/pcn.12106
 <https://doi.org/10.1111/pcn.12106>, <http://dx.doi.org/10.1111/pcn.12106>."
"...3210","Neuroscience (humans","Multivariate pattern analyses can identify patterns of resting-state functional connectivity that successfully differentiate individuals with depression from healthy controls. This finding demonstrates the potential utility of resting-state functional connectivity as a biomarker of depression","Craddock RC, Holtzheimer PE, Hu XP, Mayberg HS (2009). “Disease state prediction from resting state functional
 connectivity.” _Magnetic Resonance in Medicine_, *62*(6), 1619–1628. ISSN 1522-2594, doi:10.1002/mrm.22159
 <https://doi.org/10.1002/mrm.22159>, <http://dx.doi.org/10.1002/mrm.22159>.","Chen J, Guo H, Cheng C, Cao X, Xiang J, Zhang K (2014). “Resting-state functional connectivity abnormalities in
 first-onset unmedicated depression.” _Neural Regeneration Research_, *9*(2), 153. ISSN 1673-5374,
 doi:10.4103/1673-5374.125344 <https://doi.org/10.4103/1673-5374.125344>,
 <http://dx.doi.org/10.4103/1673-5374.125344>."
"...3211","Neuroscience (humans","Multivariate pattern analyses can identify patterns of resting-state functional connectivity that successfully differentiate individuals with depression from healthy controls. This finding demonstrates the potential utility of resting-state functional connectivity as a biomarker of depression","Craddock RC, Holtzheimer PE, Hu XP, Mayberg HS (2009). “Disease state prediction from resting state functional
 connectivity.” _Magnetic Resonance in Medicine_, *62*(6), 1619–1628. ISSN 1522-2594, doi:10.1002/mrm.22159
 <https://doi.org/10.1002/mrm.22159>, <http://dx.doi.org/10.1002/mrm.22159>.","Lord A, Horn D, Breakspear M, Walter M (2012). “Changes in Community Structure of Resting State Functional
 Connectivity in Unipolar Depression.” _PLoS ONE_, *7*(8), e41282. ISSN 1932-6203,
 doi:10.1371/journal.pone.0041282 <https://doi.org/10.1371/journal.pone.0041282>,
 <http://dx.doi.org/10.1371/journal.pone.0041282>."
"...3214","Neuroscience (humans","Multivariate pattern analyses can identify patterns of resting-state functional connectivity that successfully differentiate individuals with depression from healthy controls. This finding demonstrates the potential utility of resting-state functional connectivity as a biomarker of depression","Craddock RC, Holtzheimer PE, Hu XP, Mayberg HS (2009). “Disease state prediction from resting state functional
 connectivity.” _Magnetic Resonance in Medicine_, *62*(6), 1619–1628. ISSN 1522-2594, doi:10.1002/mrm.22159
 <https://doi.org/10.1002/mrm.22159>, <http://dx.doi.org/10.1002/mrm.22159>.","Sundermann B, Feder S, Wersching H, Teuber A, Schwindt W, Kugel H, Heindel W, Arolt V, Berger K, Pfleiderer B
 (2016). “Diagnostic classification of unipolar depression based on resting-state functional connectivity MRI:
 effects of generalization to a diverse sample.” _Journal of Neural Transmission_, *124*(5), 589–605. ISSN
 1435-1463, doi:10.1007/s00702-016-1673-8 <https://doi.org/10.1007/s00702-016-1673-8>,
 <http://dx.doi.org/10.1007/s00702-016-1673-8>."
"...3215","Neuroscience (humans","Multivariate pattern analyses can identify patterns of resting-state functional connectivity that successfully differentiate individuals with depression from healthy controls. This finding demonstrates the potential utility of resting-state functional connectivity as a biomarker of depression","Craddock RC, Holtzheimer PE, Hu XP, Mayberg HS (2009). “Disease state prediction from resting state functional
 connectivity.” _Magnetic Resonance in Medicine_, *62*(6), 1619–1628. ISSN 1522-2594, doi:10.1002/mrm.22159
 <https://doi.org/10.1002/mrm.22159>, <http://dx.doi.org/10.1002/mrm.22159>.","Yu Y, Shen H, Zeng L, Ma Q, Hu D (2013). “Convergent and Divergent Functional Connectivity Patterns in
 Schizophrenia and Depression.” _PLoS ONE_, *8*(7), e68250. ISSN 1932-6203, doi:10.1371/journal.pone.0068250
 <https://doi.org/10.1371/journal.pone.0068250>, <http://dx.doi.org/10.1371/journal.pone.0068250>."
"...3217","Neuroscience (humans","Multivariate pattern analyses can identify patterns of resting-state functional connectivity that successfully differentiate individuals with depression from healthy controls. This finding demonstrates the potential utility of resting-state functional connectivity as a biomarker of depression","Craddock RC, Holtzheimer PE, Hu XP, Mayberg HS (2009). “Disease state prediction from resting state functional
 connectivity.” _Magnetic Resonance in Medicine_, *62*(6), 1619–1628. ISSN 1522-2594, doi:10.1002/mrm.22159
 <https://doi.org/10.1002/mrm.22159>, <http://dx.doi.org/10.1002/mrm.22159>.","Zeng L, Shen H, Liu L, Hu D (2013). “Unsupervised classification of major depression using functional
 connectivity MRI.” _Human Brain Mapping_, *35*(4), 1630–1641. ISSN 1097-0193, doi:10.1002/hbm.22278
 <https://doi.org/10.1002/hbm.22278>, <http://dx.doi.org/10.1002/hbm.22278>."
"...3218","Neuroscience (humans","Listening to Mozart’s sonata KV448 can reduce or prevent epileptic seizures.​","Hughes JR, Daaboul Y, Fino JJ, Shaw GL (1998). “The “Mozart Effect” on Epileptiform Activity.” _Clinical
 Electroencephalography_, *29*(3), 109–119. ISSN 0009-9155, doi:10.1177/155005949802900301
 <https://doi.org/10.1177/155005949802900301>, <http://dx.doi.org/10.1177/155005949802900301>.","Bodner M, Turner RP, Schwacke J, Bowers C, Norment C (2012). “Reduction of Seizure Occurrence from Exposure to
 Auditory Stimulation in Individuals with Neurological Handicaps: A Randomized Controlled Trial.” _PLoS ONE_,
 *7*(10), e45303. ISSN 1932-6203, doi:10.1371/journal.pone.0045303 <https://doi.org/10.1371/journal.pone.0045303>,
 <http://dx.doi.org/10.1371/journal.pone.0045303>."
"...3220","Neuroscience (humans","Listening to Mozart’s sonata KV448 can reduce or prevent epileptic seizures.​","Hughes JR, Daaboul Y, Fino JJ, Shaw GL (1998). “The “Mozart Effect” on Epileptiform Activity.” _Clinical
 Electroencephalography_, *29*(3), 109–119. ISSN 0009-9155, doi:10.1177/155005949802900301
 <https://doi.org/10.1177/155005949802900301>, <http://dx.doi.org/10.1177/155005949802900301>.","Rauscher FH, Shaw GL, Ky CN (1993). “Music and spatial task performance.” _Nature_, *365*(6447), 611–611. ISSN
 1476-4687, doi:10.1038/365611a0 <https://doi.org/10.1038/365611a0>, <http://dx.doi.org/10.1038/365611a0>."
"...3223","Neuroscience (humans","Effect of Mild Cognitive Impairment (MCI) on financial capacity performance in older adults. **The influence of neurodegeneration as presented in patients with a diagnosis of Mild Cognitive Impairment on financial capacity tasks","SHEROD MG, GRIFFITH HR, COPELAND J, BELUE K, KRZYWANSKI S, ZAMRINI EY, HARRELL LE, CLARK DG, BROCKINGTON JC,
 POWERS RE, MARSON DC (2009). “Neurocognitive predictors of financial capacity across the dementia spectrum:
 Normal aging, mild cognitive impairment, and Alzheimer’s disease.” _Journal of the International
 Neuropsychological Society_, *15*(2), 258–267. ISSN 1469-7661, doi:10.1017/s1355617709090365
 <https://doi.org/10.1017/s1355617709090365>, <http://dx.doi.org/10.1017/s1355617709090365>.","Giannouli V, Tsolaki M (2022). “Self-Awareness of Cognitive Efficiency, Cognitive Status, Insight, and Financial
 Capacity in Patients with Mild AD, aMCI, and Healthy Controls: An Intriguing Liaison with Clinical Implications?”
 _Neurology International_, *14*(3), 628–637. ISSN 2035-8377, doi:10.3390/neurolint14030051
 <https://doi.org/10.3390/neurolint14030051>, <http://dx.doi.org/10.3390/neurolint14030051>."
"...3224","Neuroscience (humans","Effect of Mild Cognitive Impairment (MCI) on financial capacity performance in older adults. **The influence of neurodegeneration as presented in patients with a diagnosis of Mild Cognitive Impairment on financial capacity tasks","SHEROD MG, GRIFFITH HR, COPELAND J, BELUE K, KRZYWANSKI S, ZAMRINI EY, HARRELL LE, CLARK DG, BROCKINGTON JC,
 POWERS RE, MARSON DC (2009). “Neurocognitive predictors of financial capacity across the dementia spectrum:
 Normal aging, mild cognitive impairment, and Alzheimer’s disease.” _Journal of the International
 Neuropsychological Society_, *15*(2), 258–267. ISSN 1469-7661, doi:10.1017/s1355617709090365
 <https://doi.org/10.1017/s1355617709090365>, <http://dx.doi.org/10.1017/s1355617709090365>.","Jekel K, Damian M, Wattmo C, Hausner L, Bullock R, Connelly PJ, Dubois B, Eriksdotter M, Ewers M, Graessel E,
 Kramberger MG, Law E, Mecocci P, Molinuevo JL, Nygård L, Olde-Rikkert MG, Orgogozo J, Pasquier F, Peres K, Salmon
 E, Sikkes SA, Sobow T, Spiegel R, Tsolaki M, Winblad B, Frölich L (2015). “Mild cognitive impairment and deficits
 in instrumental activities of daily living: a systematic review.” _Alzheimer’s Research &amp;amp; Therapy_, *7*(1).
 ISSN 1758-9193, doi:10.1186/s13195-015-0099-0 <https://doi.org/10.1186/s13195-015-0099-0>,
 <http://dx.doi.org/10.1186/s13195-015-0099-0>."
"...3225","Neuroscience (humans","The influence of neurodegeneration as presented in patients with a diagnosis of frontotemporal dementia on financial capacity tasks","Gill S, Blair M, Kershaw M, Jesso S, MacKinley J, Coleman K, Pantazopoulos K, Pasternak S, Finger E (2019).
 “Financial capacity in frontotemporal dementia and related presentations.” _Journal of Neurology_, *266*(7),
 1698–1707. ISSN 1432-1459, doi:10.1007/s00415-019-09317-w <https://doi.org/10.1007/s00415-019-09317-w>,
 <http://dx.doi.org/10.1007/s00415-019-09317-w>.","Giannouli V, Tsolaki M (2021). “Frontotemporal dementia and financial capacity: facing the Cerberus of
 overestimation or underestimation?” _Australasian Psychiatry_, *30*(1), 41–43. ISSN 1440-1665,
 doi:10.1177/10398562211005444 <https://doi.org/10.1177/10398562211005444>,
 <http://dx.doi.org/10.1177/10398562211005444>."
"...3229","Neuroscience (humans","Fear Conditioning - Association of cortical thickness between the dorsal anterior cingulate cortex (dACC) and conditioned responding during acquisition training** (Brain-behaviour relationships in fear conditioning). The relationship between the thickness of dACC and conditioned responding during fear acquisition training in fear conditioning paradigms.​","Milad MR, Quirk GJ, Pitman RK, Orr SP, Fischl B, Rauch SL (2007). “A Role for the Human Dorsal Anterior Cingulate
 Cortex in Fear Expression.” _Biological Psychiatry_, *62*(10), 1191–1194. ISSN 0006-3223,
 doi:10.1016/j.biopsych.2007.04.032 <https://doi.org/10.1016/j.biopsych.2007.04.032>,
 <http://dx.doi.org/10.1016/j.biopsych.2007.04.032>.","Winkelmann T, Grimm O, Pohlack ST, Nees F, Cacciaglia R, Dinu-Biringer R, Steiger F, Wicking M, Ruttorf M, Schad
 LR, Flor H (2015). “Brain morphology correlates of interindividual differences in conditioned fear acquisition
 and extinction learning.” _Brain Structure and Function_, *221*(4), 1927–1937. ISSN 1863-2661,
 doi:10.1007/s00429-015-1013-z <https://doi.org/10.1007/s00429-015-1013-z>,
 <http://dx.doi.org/10.1007/s00429-015-1013-z>."
"...3235","Psychiatry/Mental Health","Poor self-esteem results in a decrease in self-appreciation, producing self-defeating attitudes, poor mental health, social problems or risk behaviours","Rosenthal R, Jacobson L (1968). “Pygmalion in the classroom.” _The Urban Review_, *3*(1), 16–20. ISSN 1573-1960,
 doi:10.1007/bf02322211 <https://doi.org/10.1007/bf02322211>, <http://dx.doi.org/10.1007/bf02322211>.","Baumeister RF, Campbell JD, Krueger JI, Vohs KD (2003). “Does High Self-Esteem Cause Better Performance,
 Interpersonal Success, Happiness, or Healthier Lifestyles?” _Psychological Science in the Public Interest_,
 *4*(1), 1–44. ISSN 1539-6053, doi:10.1111/1529-1006.01431 <https://doi.org/10.1111/1529-1006.01431>,
 <http://dx.doi.org/10.1111/1529-1006.01431>."
"...3236","Psychiatry/Mental Health","Poor self-esteem results in a decrease in self-appreciation, producing self-defeating attitudes, poor mental health, social problems or risk behaviours","Rosenthal R, Jacobson L (1968). “Pygmalion in the classroom.” _The Urban Review_, *3*(1), 16–20. ISSN 1573-1960,
 doi:10.1007/bf02322211 <https://doi.org/10.1007/bf02322211>, <http://dx.doi.org/10.1007/bf02322211>.","Keane L, Loades M (2016). “Review: Low self‐esteem and internalizing disorders in young people – a systematic
 review.” _Child and Adolescent Mental Health_, *22*(1), 4–15. ISSN 1475-3588, doi:10.1111/camh.12204
 <https://doi.org/10.1111/camh.12204>, <http://dx.doi.org/10.1111/camh.12204>."
"...3240","Psychiatry/Mental Health","Early life adversity (childhood maltreatment) is associated with higher depression symptoms","Bernet CZ, Stein MB (1999). “Relationship of childhood maltreatment to the onset and course of major depression
 in adulthood.” _Depression and Anxiety_, *9*(4), 169–174. ISSN 1520-6394,
 doi:10.1002/(sici)1520-6394(1999)9:4<169::aid-da4>3.0.co;2-2
 <https://doi.org/10.1002/%28sici%291520-6394%281999%299%3A4%3C169%3A%3Aaid-da4%3E3.0.co%3B2-2>,
 <http://dx.doi.org/10.1002/(sici)1520-6394(1999)9:4%3C169::aid-da4%3E3.0.co;2-2>.","Koppold A, Kastrinogiannis A, Kuhn M, Lonsdorf TB (2023). “Watching with Argus eyes: Characterization of
 emotional and physiological responding in adults exposed to childhood maltreatment and/or recent adversity.”
 _Psychophysiology_, *60*(7). ISSN 1469-8986, doi:10.1111/psyp.14253 <https://doi.org/10.1111/psyp.14253>,
 <http://dx.doi.org/10.1111/psyp.14253>."
"...3241","Psychiatry/Mental Health","Early life adversity (childhood maltreatment) is associated with higher depression symptoms","Bernet CZ, Stein MB (1999). “Relationship of childhood maltreatment to the onset and course of major depression
 in adulthood.” _Depression and Anxiety_, *9*(4), 169–174. ISSN 1520-6394,
 doi:10.1002/(sici)1520-6394(1999)9:4<169::aid-da4>3.0.co;2-2
 <https://doi.org/10.1002/%28sici%291520-6394%281999%299%3A4%3C169%3A%3Aaid-da4%3E3.0.co%3B2-2>,
 <http://dx.doi.org/10.1002/(sici)1520-6394(1999)9:4%3C169::aid-da4%3E3.0.co;2-2>.","Li M, D’Arcy C, Meng X (2015). “Maltreatment in childhood substantially increases the risk of adult depression
 and anxiety in prospective cohort studies: systematic review, meta-analysis, and proportional attributable
 fractions.” _Psychological Medicine_, *46*(4), 717–730. ISSN 1469-8978, doi:10.1017/s0033291715002743
 <https://doi.org/10.1017/s0033291715002743>, <http://dx.doi.org/10.1017/S0033291715002743>."
"...3242","Psychiatry/Mental Health","Early life adversity (childhood maltreatment) is associated with higher depression symptoms","Bernet CZ, Stein MB (1999). “Relationship of childhood maltreatment to the onset and course of major depression
 in adulthood.” _Depression and Anxiety_, *9*(4), 169–174. ISSN 1520-6394,
 doi:10.1002/(sici)1520-6394(1999)9:4<169::aid-da4>3.0.co;2-2
 <https://doi.org/10.1002/%28sici%291520-6394%281999%299%3A4%3C169%3A%3Aaid-da4%3E3.0.co%3B2-2>,
 <http://dx.doi.org/10.1002/(sici)1520-6394(1999)9:4%3C169::aid-da4%3E3.0.co;2-2>.","Nanni V, Uher R, Danese A (2012). “Childhood Maltreatment Predicts Unfavorable Course of Illness and Treatment
 Outcome in Depression: A Meta-Analysis.” _American Journal of Psychiatry_, *169*(2), 141–151. ISSN 1535-7228,
 doi:10.1176/appi.ajp.2011.11020335 <https://doi.org/10.1176/appi.ajp.2011.11020335>,
 <http://dx.doi.org/10.1176/appi.ajp.2011.11020335>."
"...3243","Psychiatry/Mental Health","Early life adversity (childhood maltreatment) is associated with higher depression symptoms","Bernet CZ, Stein MB (1999). “Relationship of childhood maltreatment to the onset and course of major depression
 in adulthood.” _Depression and Anxiety_, *9*(4), 169–174. ISSN 1520-6394,
 doi:10.1002/(sici)1520-6394(1999)9:4<169::aid-da4>3.0.co;2-2
 <https://doi.org/10.1002/%28sici%291520-6394%281999%299%3A4%3C169%3A%3Aaid-da4%3E3.0.co%3B2-2>,
 <http://dx.doi.org/10.1002/(sici)1520-6394(1999)9:4%3C169::aid-da4%3E3.0.co;2-2>.","Nelson J, Klumparendt A, Doebler P, Ehring T (2017). “Childhood maltreatment and characteristics of adult
 depression: Meta-analysis.” _British Journal of Psychiatry_, *210*(2), 96–104. ISSN 1472-1465,
 doi:10.1192/bjp.bp.115.180752 <https://doi.org/10.1192/bjp.bp.115.180752>,
 <http://dx.doi.org/10.1192/bjp.bp.115.180752>."
